S,Cluster_size_B3,Cluster_Prob_B3
6554,1,0.813025
6554,2,0.152061
6554,3,0.0276215
6554,4,0.00573364
6554,5,0.00121155
6554,6,0.000280151
6554,7,4.48608e-05
6554,8,1.70898e-05
6554,9,2.74658e-06
6554,10,3.05176e-06
13107,1,0.650901
13107,2,0.227416
13107,3,0.0754413
13107,4,0.0273999
13107,5,0.0110794
13107,6,0.00456116
13107,7,0.00189911
13107,8,0.000773926
13107,9,0.000282898
13107,10,0.000143433
13107,11,7.38525e-05
13107,12,1.09863e-05
13107,13,7.93457e-06
13107,14,8.54492e-06
19661,1,0.511578
19661,2,0.25073
19661,3,0.112833
19661,4,0.0550989
19661,5,0.0297791
19661,6,0.0171844
19661,7,0.0100275
19661,8,0.00564453
19661,9,0.0030899
19661,10,0.00175476
19661,11,0.000966797
19661,12,0.0005896
19661,13,0.000325317
19661,14,0.000192261
19661,15,7.78198e-05
19661,16,5.37109e-05
19661,17,3.11279e-05
19661,18,1.09863e-05
19661,19,5.79834e-06
19661,20,1.2207e-05
19661,21,6.40869e-06
19661,24,7.32422e-06
26214,1,0.391933
26214,2,0.242949
26214,3,0.131639
26214,4,0.0746936
26214,5,0.0482361
26214,6,0.0328967
26214,7,0.02349
26214,8,0.0162354
26214,9,0.0116016
26214,10,0.00811462
26214,11,0.00553558
26214,12,0.00395874
26214,13,0.00289215
26214,14,0.00186279
26214,15,0.00113525
26214,16,0.000869141
26214,17,0.000591431
26214,18,0.000444946
26214,19,0.0003479
26214,20,0.000183105
26214,21,0.000173035
26214,22,6.71387e-05
26214,23,4.21143e-05
26214,24,2.92969e-05
26214,25,3.05176e-05
26214,26,3.17383e-05
26214,27,8.23975e-06
26214,28,8.54492e-06
32768,1,0.288533
32768,2,0.219334
32768,3,0.133344
32768,4,0.0822034
32768,5,0.0579391
32768,6,0.0435388
32768,7,0.0340195
32768,8,0.0276343
32768,9,0.022934
32768,10,0.018515
32768,11,0.0145456
32768,12,0.0114258
32768,13,0.00972778
32768,14,0.00753662
32768,15,0.00578613
32768,16,0.00498047
32768,17,0.00364716
32768,18,0.0028894
32768,19,0.00238312
32768,20,0.00200195
32768,21,0.00148682
32768,22,0.00115479
32768,23,0.000772095
32768,24,0.000834961
32768,25,0.000556946
32768,26,0.000547485
32768,27,0.00032959
32768,28,0.000281982
32768,29,0.000230103
32768,30,0.000164795
32768,31,0.000151367
32768,32,0.000126953
32768,33,9.06372e-05
32768,34,8.30078e-05
32768,35,6.40869e-05
32768,36,3.2959e-05
32768,37,4.5166e-05
32768,39,3.57056e-05
32768,40,3.66211e-05
32768,42,1.28174e-05
32768,43,1.31226e-05
32768,45,1.37329e-05
32768,50,1.52588e-05
39321,1,0.193826
39321,2,0.196486
39321,3,0.123492
39321,4,0.0807361
39321,5,0.0587769
39321,6,0.0457251
39321,7,0.0379758
39321,8,0.0322656
39321,9,0.0274493
39321,10,0.0242584
39321,11,0.0210144
39321,12,0.0191382
39321,13,0.01673
39321,14,0.015415
39321,15,0.0137009
39321,16,0.0112012
39321,17,0.0101736
39321,18,0.00882751
39321,19,0.00765961
39321,20,0.00717773
39321,21,0.00596008
39321,22,0.00505554
39321,23,0.00443604
39321,24,0.00348633
39321,25,0.00359344
39321,26,0.00295166
39321,27,0.00264496
39321,28,0.0022644
39321,29,0.00214172
39321,30,0.00160217
39321,31,0.00161774
39321,32,0.00151367
39321,33,0.00126892
39321,34,0.001297
39321,35,0.000662231
39321,36,0.000626221
39321,37,0.000779114
39321,38,0.000603027
39321,39,0.000714111
39321,40,0.000561523
39321,41,0.000325317
39321,42,0.000397339
39321,43,0.000354309
39321,44,0.000335693
39321,45,0.000274658
39321,46,0.000322876
39321,47,0.000229492
39321,48,0.000322266
39321,49,0.000134583
39321,50,0.000167847
39321,51,0.000186768
39321,52,0.000174561
39321,53,0.000177917
39321,54,8.23975e-05
39321,55,0.000117493
39321,56,5.12695e-05
39321,57,3.479e-05
39321,58,7.08008e-05
39321,60,7.32422e-05
39321,61,7.44629e-05
39321,62,5.67627e-05
39321,63,3.84521e-05
39321,64,7.8125e-05
39321,65,1.98364e-05
39321,66,2.01416e-05
39321,70,2.13623e-05
39321,72,2.19727e-05
39321,84,2.56348e-05
45875,1,0.0941309
45875,2,0.184724
45875,3,0.107583
45875,4,0.0751624
45875,5,0.0571655
45875,6,0.0453442
45875,7,0.0367368
45875,8,0.0313086
45875,9,0.0266254
45875,10,0.0241638
45875,11,0.0219577
45875,12,0.019325
45875,13,0.0182257
45875,14,0.0172009
45875,15,0.0160355
45875,16,0.0146729
45875,17,0.0137482
45875,18,0.0130298
45875,19,0.012507
45875,20,0.0106018
45875,21,0.00968353
45875,22,0.00964783
45875,23,0.00897034
45875,24,0.00841553
45875,25,0.00786591
45875,26,0.00718872
45875,27,0.00688019
45875,28,0.00642578
45875,29,0.00563751
45875,30,0.0055481
45875,31,0.00533569
45875,32,0.00448242
45875,33,0.00427002
45875,34,0.00434753
45875,35,0.00350342
45875,36,0.00292236
45875,37,0.00325195
45875,38,0.00324707
45875,39,0.00308258
45875,40,0.00281982
45875,41,0.00299042
45875,42,0.00193542
45875,43,0.0021521
45875,44,0.00206787
45875,45,0.00230713
45875,46,0.00223206
45875,47,0.00172119
45875,48,0.00156738
45875,49,0.00131592
45875,50,0.00151062
45875,51,0.00110504
45875,52,0.00123779
45875,53,0.00142334
45875,54,0.00098877
45875,55,0.00122528
45875,56,0.000888672
45875,57,0.00113068
45875,58,0.000955811
45875,59,0.000936279
45875,60,0.000640869
45875,61,0.00102386
45875,62,0.000813599
45875,63,0.000903625
45875,64,0.000507813
45875,65,0.000634766
45875,66,0.000966797
45875,67,0.000449829
45875,68,0.000435791
45875,69,0.000715942
45875,70,0.000384521
45875,71,0.000411682
45875,72,0.000439453
45875,73,0.000623779
45875,74,0.000609741
45875,75,0.000411987
45875,76,0.000394287
45875,77,0.000516968
45875,78,0.000261841
45875,79,0.000337524
45875,80,0.000341797
45875,81,0.000370789
45875,82,0.000175171
45875,83,0.000151978
45875,84,0.000256348
45875,85,0.000259399
45875,86,0.000209961
45875,87,0.000292053
45875,88,0.00029541
45875,89,0.000135803
45875,90,0.000219727
45875,91,0.000194397
45875,92,0.000140381
45875,93,8.5144e-05
45875,94,0.000200806
45875,95,5.79834e-05
45875,96,0.000234375
45875,97,8.88062e-05
45875,98,0.000119629
45875,99,6.04248e-05
45875,100,0.00012207
45875,101,9.24683e-05
45875,102,0.000124512
45875,105,3.20435e-05
45875,106,3.23486e-05
45875,107,3.26538e-05
45875,108,6.5918e-05
45875,109,6.65283e-05
45875,110,3.35693e-05
45875,112,3.41797e-05
45875,113,6.89697e-05
45875,114,6.95801e-05
45875,119,7.26318e-05
45875,120,3.66211e-05
45875,121,3.69263e-05
45875,124,7.56836e-05
45875,126,3.84521e-05
45875,130,3.96729e-05
45875,132,4.02832e-05
45875,143,4.36401e-05
49152,1,0.0264136
49152,2,0.184383
49152,3,0.0974854
49152,4,0.0686963
49152,5,0.0558456
49152,6,0.04552
49152,7,0.0370508
49152,8,0.0311011
49152,9,0.0275235
49152,10,0.0244293
49152,11,0.0219644
49152,12,0.0188892
49152,13,0.0173767
49152,14,0.0169446
49152,15,0.0155594
49152,16,0.014082
49152,17,0.0139557
49152,18,0.0129584
49152,19,0.0120316
49152,20,0.0110779
49152,21,0.0111063
49152,22,0.0102722
49152,23,0.0101285
49152,24,0.00927246
49152,25,0.00910187
49152,26,0.00865662
49152,27,0.00815735
49152,28,0.00716064
49152,29,0.00749603
49152,30,0.00715027
49152,31,0.00602631
49152,32,0.00597656
49152,33,0.00522675
49152,34,0.0050531
49152,35,0.00565033
49152,36,0.00429565
49152,37,0.00466339
49152,38,0.00447632
49152,39,0.00404663
49152,40,0.0041626
49152,41,0.003078
49152,42,0.00376831
49152,43,0.00402863
49152,44,0.00350464
49152,45,0.00274658
49152,46,0.00273743
49152,47,0.00312683
49152,48,0.00270996
49152,49,0.00239258
49152,50,0.00241089
49152,51,0.00245911
49152,52,0.00242798
49152,53,0.00249084
49152,54,0.00252136
49152,55,0.00194702
49152,56,0.0018457
49152,57,0.00189606
49152,58,0.00192932
49152,59,0.0020166
49152,60,0.00150146
49152,61,0.0018988
49152,62,0.00198669
49152,63,0.0018457
49152,64,0.00123047
49152,65,0.00148773
49152,66,0.00124878
49152,67,0.00139038
49152,68,0.00149414
49152,69,0.00136871
49152,70,0.0011322
49152,71,0.00132172
49152,72,0.00098877
49152,73,0.000935669
49152,74,0.00101624
49152,75,0.00125885
49152,76,0.00102051
49152,77,0.000939941
49152,78,0.000856934
49152,79,0.00086792
49152,80,0.000952148
49152,81,0.000840454
49152,82,0.000900879
49152,83,0.000709229
49152,84,0.000897217
49152,85,0.000933838
49152,86,0.00102356
49152,87,0.000584106
49152,88,0.000751953
49152,89,0.000923462
49152,90,0.000521851
49152,91,0.000499878
49152,92,0.000561523
49152,93,0.00085144
49152,94,0.00057373
49152,95,0.000579834
49152,96,0.000878906
49152,97,0.000532837
49152,98,0.00053833
49152,99,0.000392761
49152,100,0.000457764
49152,101,0.000616455
49152,102,0.000529175
49152,103,0.000471497
49152,104,0.000412598
49152,105,0.000640869
49152,106,0.000485229
49152,107,0.000391846
49152,108,0.000461426
49152,109,0.000532227
49152,110,0.000335693
49152,111,0.000406494
49152,112,0.000444336
49152,113,0.000344849
49152,114,0.00038269
49152,115,0.000350952
49152,116,0.000424805
49152,117,0.000357056
49152,118,0.000324097
49152,119,0.000290527
49152,120,0.000366211
49152,121,0.00029541
49152,122,0.00026062
49152,123,0.00022522
49152,124,0.000151367
49152,125,0.000114441
49152,126,0.000307617
49152,127,0.000232544
49152,128,0.000351562
49152,129,0.000236206
49152,130,0.000198364
49152,131,0.000279846
49152,132,0.000241699
49152,133,0.000202942
49152,134,0.000204468
49152,135,0.000247192
49152,136,0.000124512
49152,137,0.000167236
49152,138,4.21143e-05
49152,139,0.000127258
49152,140,0.000170898
49152,141,8.60596e-05
49152,142,0.000130005
49152,143,0.000305481
49152,144,0.000131836
49152,145,8.8501e-05
49152,146,4.45557e-05
49152,147,0.000224304
49152,148,0.000180664
49152,149,4.54712e-05
49152,150,0.000183105
49152,151,4.60815e-05
49152,153,0.000140076
49152,154,0.000187988
49152,155,9.46045e-05
49152,156,4.76074e-05
49152,157,0.000287476
49152,158,9.64355e-05
49152,159,9.70459e-05
49152,160,4.88281e-05
49152,161,4.91333e-05
49152,162,4.94385e-05
49152,164,0.000200195
49152,165,0.000100708
49152,166,5.06592e-05
49152,167,0.000203857
49152,168,5.12695e-05
49152,169,5.15747e-05
49152,170,5.18799e-05
49152,171,5.21851e-05
49152,172,5.24902e-05
49152,174,5.31006e-05
49152,175,5.34058e-05
49152,176,5.37109e-05
49152,177,5.40161e-05
49152,179,5.46265e-05
49152,180,5.49316e-05
49152,181,0.000110474
49152,185,0.000112915
49152,186,5.67627e-05
49152,187,0.000171204
49152,188,5.7373e-05
49152,189,5.76782e-05
49152,191,5.82886e-05
49152,192,5.85937e-05
49152,193,5.88989e-05
49152,195,5.95093e-05
49152,196,5.98145e-05
49152,198,6.04248e-05
49152,200,6.10352e-05
49152,201,6.13403e-05
49152,208,6.34766e-05
49152,211,6.43921e-05
49152,213,6.50024e-05
49152,218,6.65283e-05
49152,224,6.83594e-05
49152,232,7.08008e-05
